OBJECTID	FORMULARIO	GRAVEDAD	CLASE_ACC
416577	A001234528	SOLO DANOS	CHOQUE
416578	A001234503	SOLO DANOS	CHOQUE
416579	A001234830	SOLO DANOS	CHOQUE
416580	A001233480	SOLO DANOS	CHOQUE
416581	A001234671	SOLO DANOS	CHOQUE
416582	A001234920	SOLO DANOS	CHOQUE
416583	A001234486	SOLO DANOS	CHOQUE
416584	A001234989	SOLO DANOS	CHOQUE
416585	A001234999	SOLO DANOS	CHOQUE
416586	A001233967	SOLO DANOS	CHOQUE
416587	A001234335	SOLO DANOS	CHOQUE
416588	A001235018	SOLO DANOS	CHOQUE
416589	A001234373	SOLO DANOS	CHOQUE
416590	A001233253	SOLO DANOS	CHOQUE
416591	A001233669	SOLO DANOS	CHOQUE
416592	A001234334	SOLO DANOS	CHOQUE
416593	A001234429	SOLO DANOS	CHOQUE
416594	A001234819	SOLO DANOS	CHOQUE
416595	A001233667	SOLO DANOS	CHOQUE
416596	A001232695	SOLO DANOS	CHOQUE
416597	A001234707	SOLO DANOS	CHOQUE
416598	A001232793	SOLO DANOS	CHOQUE
416599	A001233925	SOLO DANOS	CHOQUE
416600	A001235136	SOLO DANOS	CHOQUE
416601	A001234926	SOLO DANOS	CHOQUE
416602	A001234161	SOLO DANOS	CHOQUE
416603	A001234056	SOLO DANOS	CHOQUE
416604	A001234964	SOLO DANOS	CHOQUE
416605	A001234996	SOLO DANOS	CHOQUE
416606	A001234863	SOLO DANOS	CHOQUE
416607	A001233862	SOLO DANOS	CHOQUE
416608	A001233084	SOLO DANOS	CHOQUE
416609	A001234871	SOLO DANOS	CHOQUE
416610	A001234599	SOLO DANOS	CHOQUE
416611	A001233217	SOLO DANOS	CHOQUE
416612	A001235015	SOLO DANOS	CHOQUE
416613	A001234954	SOLO DANOS	CHOQUE
416614	A001234509	SOLO DANOS	CHOQUE
416615	A001234665	SOLO DANOS	CHOQUE
416616	A001235004	SOLO DANOS	CHOQUE
416621	A001060301	CON HERIDOS	ATROPELLO
416624	A001136117	SOLO DANOS	CHOQUE
416625	A001135732	CON HERIDOS	ATROPELLO
416626	A001135582	SOLO DANOS	CHOQUE
416631	A001132638	CON HERIDOS	ATROPELLO
416632	A001128290	CON HERIDOS	CHOQUE
