"OBJECTID";"FECHA_OCURRENCIA_ACC";"ANO_OCURRENCIA_ACC";"FORMULARIO";"CLASE_ACC"
402722;"2020/03/06 00:00:00+00";2020;"A001135683";"CHOQUE"
402723;"2020/03/06 00:00:00+00";2020;"A001135881";"CHOQUE"
402724;"2020/03/06 00:00:00+00";2020;"A001135583";"CHOQUE"
402725;"2020/03/06 00:00:00+00";2020;"A001136031";"VOLCAMIENTO"
402726;"2020/03/06 00:00:00+00";2020;"A001135564";"CHOQUE"
402727;"2020/03/06 00:00:00+00";2020;"A001134622";"CHOQUE"
402728;"2020/03/06 00:00:00+00";2020;"A001135633";"CHOQUE"
402729;"2020/03/06 00:00:00+00";2020;"A001135565";"CHOQUE"
402730;"2020/03/06 00:00:00+00";2020;"A001135573";"CHOQUE"
402731;"2020/03/06 00:00:00+00";2020;"A001135302";"CHOQUE"
402732;"2020/03/06 00:00:00+00";2020;"A001135624";"CHOQUE"
402733;"2020/03/06 00:00:00+00";2020;"A001134776";"CHOQUE"
402734;"2020/03/06 00:00:00+00";2020;"A001135773";"CHOQUE"
402735;"2020/03/07 00:00:00+00";2020;"A001135502";"CHOQUE"
402736;"2020/03/06 00:00:00+00";2020;"A001135670";"CHOQUE"
402737;"2020/03/08 00:00:00+00";2020;"A001135807";"CHOQUE"
402738;"2020/03/06 00:00:00+00";2020;"A001135715";"CHOQUE"
402739;"2020/03/06 00:00:00+00";2020;"A001135589";"CHOQUE"
402740;"2020/03/07 00:00:00+00";2020;"A001135918";"CHOQUE"
402741;"2020/03/05 00:00:00+00";2020;"A001135786";"CHOQUE"
402742;"2020/03/05 00:00:00+00";2020;"A001134380";"CHOQUE"
402743;"2020/03/05 00:00:00+00";2020;"A001135663";"CHOQUE"
402744;"2020/03/06 00:00:00+00";2020;"A001135286";"CHOQUE"
402745;"2020/03/06 00:00:00+00";2020;"A001135096";"CHOQUE"
402746;"2020/03/06 00:00:00+00";2020;"A001135591";"CHOQUE"
402747;"2020/03/06 00:00:00+00";2020;"A001135071";"INCENDIO"
402748;"2020/03/05 00:00:00+00";2020;"A001134067";"CHOQUE"
402749;"2020/03/06 00:00:00+00";2020;"A001135385";"CHOQUE"
402750;"2020/03/06 00:00:00+00";2020;"A001130848";"CHOQUE"
402874;"2020/03/14 00:00:00+00";2020;"A001135755";"ATROPELLO"
402875;"2020/03/14 00:00:00+00";2020;"A001135522";"CAIDA DE OCUPANTE"
402876;"2020/02/21 00:00:00+00";2020;"A001134309";"ATROPELLO"
402877;"2020/03/13 00:00:00+00";2020;"A001135964";"ATROPELLO"
402878;"2020/03/14 00:00:00+00";2020;"A001134665";"ATROPELLO"
402879;"2020/03/14 00:00:00+00";2020;"A001136556";"ATROPELLO"
402880;"2020/03/13 00:00:00+00";2020;"A001136522";"ATROPELLO"
402881;"2020/03/17 00:00:00+00";2020;"A001127602";"CHOQUE"
402882;"2020/03/16 00:00:00+00";2020;"A001136689";"CHOQUE"
402883;"2020/03/16 00:00:00+00";2020;"A001136425";"CHOQUE"
402884;"2020/03/18 00:00:00+00";2020;"A001136246";"CHOQUE"
402885;"2020/03/18 00:00:00+00";2020;"A001134817";"CHOQUE"
402886;"2020/03/16 00:00:00+00";2020;"A001135691";"CHOQUE"
402887;"2020/03/17 00:00:00+00";2020;"A001135899";"CHOQUE"
402888;"2020/03/18 00:00:00+00";2020;"A001135576";"CHOQUE"
402889;"2020/03/15 00:00:00+00";2020;"A001136005";"CHOQUE"
402890;"2020/03/17 00:00:00+00";2020;"A001136691";"CHOQUE"
402891;"2020/03/17 00:00:00+00";2020;"A001136427";"CHOQUE"
402892;"2020/02/14 00:00:00+00";2020;"A001135292";"CHOQUE"
402893;"2020/03/17 00:00:00+00";2020;"A001136242";"CHOQUE"
402894;"2020/03/09 00:00:00+00";2020;"A001133420";"CHOQUE"
402895;"2020/03/19 00:00:00+00";2020;"A001136424";"CHOQUE"
402896;"2020/03/17 00:00:00+00";2020;"A001136545";"CHOQUE"
402897;"2020/03/14 00:00:00+00";2020;"A001130412";"CHOQUE"
402898;"2020/03/17 00:00:00+00";2020;"A001127664";"CHOQUE"
402899;"2020/03/15 00:00:00+00";2020;"A001136394";"CHOQUE"
402900;"2020/03/17 00:00:00+00";2020;"A001135956";"CHOQUE"
402901;"2020/03/18 00:00:00+00";2020;"A001135805";"CHOQUE"
402902;"2020/03/18 00:00:00+00";2020;"A001135912";"CHOQUE"
402903;"2020/03/18 00:00:00+00";2020;"A001136398";"ATROPELLO"
402904;"2020/03/18 00:00:00+00";2020;"A001136506";"CHOQUE"
402905;"2020/03/18 00:00:00+00";2020;"A001136591";"CHOQUE"
402906;"2020/03/18 00:00:00+00";2020;"A001136249";"CHOQUE"
402907;"2020/03/18 00:00:00+00";2020;"A001136538";"CHOQUE"
402908;"2020/03/15 00:00:00+00";2020;"A001136458";"CHOQUE"
402909;"2020/03/18 00:00:00+00";2020;"A001136617";"CHOQUE"
402910;"2020/03/18 00:00:00+00";2020;"A001136040";"CHOQUE"
402911;"2020/03/18 00:00:00+00";2020;"A001136684";"CHOQUE"
402912;"2020/03/18 00:00:00+00";2020;"A001127757";"CHOQUE"
402913;"2020/03/19 00:00:00+00";2020;"A001135757";"CHOQUE"
402914;"2020/03/16 00:00:00+00";2020;"A001136542";"CHOQUE"
402915;"2020/03/17 00:00:00+00";2020;"A001136275";"CHOQUE"
402916;"2020/03/17 00:00:00+00";2020;"A001136607";"CHOQUE"
402917;"2020/03/16 00:00:00+00";2020;"A001136578";"CHOQUE"
402924;"2020/01/18 00:00:00+00";2020;"A001127553";"CHOQUE"
402939;"2020/01/30 00:00:00+00";2020;"A001129312";"CHOQUE"
402945;"2020/02/01 00:00:00+00";2020;"A001130305";"CHOQUE"
402952;"2020/01/06 00:00:00+00";2020;"A001129555";"VOLCAMIENTO"
403171;"2020/01/10 00:00:00+00";2020;"A001130690";"CHOQUE"
403179;"2020/01/02 00:00:00+00";2020;"A001130101";"CHOQUE"
403189;"2020/01/08 00:00:00+00";2020;"A001130516";"ATROPELLO"
403321;"2020/02/11 00:00:00+00";2020;"A001133055";"CHOQUE"
403322;"2020/02/04 00:00:00+00";2020;"A001132549";"CAIDA DE OCUPANTE"
403323;"2020/02/14 00:00:00+00";2020;"A001133193";"CHOQUE"
403324;"2020/02/14 00:00:00+00";2020;"A001133503";"OTRO"
403325;"2020/02/14 00:00:00+00";2020;"A001133853";"CHOQUE"
403326;"2020/02/15 00:00:00+00";2020;"A001133501";"CHOQUE"
403327;"2020/02/13 00:00:00+00";2020;"A001132972";"CHOQUE"
403328;"2020/02/14 00:00:00+00";2020;"A001133806";"CHOQUE"
403329;"2020/02/12 00:00:00+00";2020;"A001133423";"CHOQUE"
403330;"2020/02/14 00:00:00+00";2020;"A001133793";"CHOQUE"
403331;"2020/02/14 00:00:00+00";2020;"A001133416";"CHOQUE"
403332;"2020/02/13 00:00:00+00";2020;"A001133363";"CHOQUE"
403333;"2020/02/14 00:00:00+00";2020;"A001133985";"CHOQUE"
403334;"2020/02/12 00:00:00+00";2020;"A001132856";"CHOQUE"
403335;"2020/02/13 00:00:00+00";2020;"A001131979";"CHOQUE"
