id;name;duration_ms
4VXIryQMWpIdGgYR4TrjT1;All Girls Are The Same;165820
1FP9s72rDYty6mfoOEYKnE;All We Got (feat. KIDDO);190218
5rZlwNFl01HqLWBQGryKSm;Mood Swings (feat. Lil Tjay);213333
6EDO9iiTtwNv6waLwa1UUq;POPSTAR (feat. Drake);200221
7kDUspsoYfLkWnZR7qwHZl;my ex's best friend (with blackbear);139461
0AUvWawuP0ibk4SQ3sIZjk;Daisy;146523
2EjXfH91m7f8HiJN1yQg97;Rockin' Around The Christmas Tree;126267
5E30LdtzQTGqRvNd7l6kG5;Daddy Issues;260173
0pqnGHJpmpxLKifKRmU6WP;Believer;204347
7m9OqQk4RVRkw9JJdeAw96;Jocelyn Flores;119133
5uCax9HTNlzGybIStD3vDh;Say You Won't Let Go;211467
2kJwzbxV2ppxnQoYw4GLBZ;If the World Was Ending - feat. Julia Michaels;208687
2tnVG71enUj33Ic2nFN6kZ;Ride It;157606
30bqVoKjX479ab90a8Pafp;Star Shopping;142000
4Lt6GXGzYsa1tgkv3nGSTm;Love Not War (The Tampa Beat);192921
0tgVpDi06FyKpA1z0VMD4v;Perfect;263400
6fmQjRuo7XvRFCK2qex5hQ;Mi Cuarto;197587
2xLMifQCjDGFmkHkpNLD9h;SICKO MODE;312820
0ofHAoxe9vBkTCp2UQIavz;Dreams - 2004 Remaster;257800
696DnlkuDOXcMAnKlTgXXK;ROXANNE;163636
3ee8Jmje8o58CHK66QrVC2;SAD!;166606
3ZCTVFBt2Brf31RLEnCkWJ;everything i wanted;245426
6HlE9t71z9DjGi7KqSyEpA;Deep End;141224
62aP9fBQKYKxi7PDXwcUAS;ily (i love you baby) (feat. Emilee);176547
0ri0Han4IRJhzvERHOZTMr;At My Worst;170345
086myS9r57YsLbJpU0TgK9;Why'd You Only Call Me When You're High?;161124
7FIWs0pqAYbP91WWM0vlTQ;Godzilla (feat. Juice WRLD);210800
6ocbgoVGwYJhOv1GgI9NsF;7 rings;178627
2Y0wPrPQBrGhoLn14xRYCG;Come & Go (with Marshmello);205485
3Dv1eDb0MEgF93GpLXlucZ;Say So;237893
3AJwUDP919kvQ9QcozQPxg;Yellow;266773
26QApq0cuO9brJigr0C0W4;HACIENDO QUE ME AMAS;217769
4DuUwzP4ALMqpquHU0ltAB;Tyler Herro;156498
2mt1IqcFyY1zmYZT8Q3xw9;hot girl bummer;188344
2MbdDtCv5LUVjYy9RuGTgC;WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix;227478
0sY6ZUTh4yoctD8VIXz339;champagne problems;244000
3GVkPk8mqxz0itaAriG1L7;Everybody Dies In Their Nightmares;95467
5zj8WNkBrEzlI5FKeYV4ol;La Luz;216747
7bCfHiRcfUjG0YVVNUL7Ve;E-GIRLS ARE RUINING MY LIFE!;105176
7qiZfU4dY1lWllzX7mPBI3;Shape of You;233713
1IIKrJVP1C9N7iPtG6eOsK;Go Crazy;176960
5hslUAKq9I9CG2bAulFkHN;It's the Most Wonderful Time of the Year;151933
2kS6td1yvmpNgZTt1q5pQq;Hayloft;181680
5psEZhQu6lukjhavJo4AbC;SO DONE;126521
3Z8FwOEN59mRMxDCtb8N0A;Be Kind (with Halsey);172762
60ynsPSSKe6O3sfwRnIBRf;Streets;226987
6KfoDhO4XUWSbnyKjNp9c4;Maniac;185773
0JP9xo3adEtGSdUEISiszL;Moonlight;135090
0e7ipj03S05BNilyu5bRzt;rockstar (feat. 21 Savage);218147
4TnjEaWOeW0eKTKIEvJyCa;Falling;159382
5yY9lUy8nbvjM1Uyo1Uqoc;Life Is Good (feat. Drake);237735
4C6BlqqMwjFzOXzqpTeoWR;Ponte Pa' Mi;202373
4ZRrLHqzhGRXYj2qcB4s5S;Tattoo - Remix with Camilo;222680
6WrI0LAC5M1Rw2MnX2ZvEg;Don't Start Now;183290
2gMXnyrvIjhVBUZwvLZDMP;Before You Go;215107
7vQbuQcyTflfCIOu3Uzzya;Jingle Bell Rock;130973
0JAZWvvqttGFm4UMDsPQXC;Despeinada;224187
79s5XnCN4TJKTVMSmOx8Ep;Dior;216387
43zdsphuZLzwA9k4DJhU0I;when the party's over;196077
2lCkncy6bIB0LTMT7kvrD1;Azul;205933
3U4isOIWM3VvDubwSI3y7a;All of Me;269560
26w9NTiE9NGjW1ZvIOd1So;BOOKER T;156430
27ycaQnQAxaPiyeg3nr2aB;Midnight Sky;223279
5nujrmhLynf4yMoMtj8AQF;Levitating (feat. DaBaby);203064
7a53HqqArd4b9NF4XAmlbI;Kings & Queens;162399
6K4t31amVTZDgR3sKmwUJJ;The Less I Know The Better;216320
2GiJYvgVaD2HtM8GqD9EgQ;Electric Love;218107
5FVd6KXrgO9B3JPmC8OPst;Do I Wanna Know?;272394
017PF4Q3l4DBUiWoXk4OWT;Break My Heart;221820
3PfIrDoz19wz7qK7tYeu62;Don't Start Now;183290
5a1iz510sv2W9Dt1MvFd5R;It's Beginning to Look a Lot like Christmas;206640
6FuGJB290AQMAHTfjOYVaK;Mood (Remix) feat. Justin Bieber, J Balvin & iann dior;192745
